video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=LwQRfckSANI&pp=ygUHdmlldG5hbdIHCQlPCgGHKiGM7w%3D%3D,/@iammrbeat,Mr. Beat,The Vietnam War Explained,1.8M,1 year,"Try out Henson and get 100 free blades with purchase of a razor. Use code ""mrbeat."" Go here: http://hensonshaving.com/mrbeat ...",2026-01-20 03:12:04.966973
/watch?v=aZbNDctjS-Q&pp=ygUHdmlldG5hbQ%3D%3D,/@LiteBrite,Lite Brite,"Vietnam was Incredible, but it's NOT for Everyone! (Viewer Discretion Advised)",19K,1 day,"We traveled across Vietnam, experiencing everything from the chaos of Hanoi and its famous Train Street, breaking a ton of traffic ...",2026-01-20 03:12:04.968397
/watch?v=wO5hfqSUocE&pp=ygUHdmlldG5hbQ%3D%3D,/@touropia,touropia,12 Best Places to Visit in Vietnam - Travel Video,2.3M,2 years,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-vietnam/ A long, narrow country ...",2026-01-20 03:12:04.969831
/shorts/-QMS_Ygd3Bw,/@BrothersInArmsEnglish,Brothers in Arms,The Most Dangerous Job in the Vietnam War,16M,3 years,Subscribe ▷ https://www.bit.ly/BIAsub More Videos https://www.bit.ly/BIAvideos More Shorts ...,2026-01-20 03:12:04.971068
/shorts/2McRPd4JHA4,/@baochitravel,Baochi Travel,Unique things to do in Vietnam 🇻🇳 #10,51M,11 months,Unique things to do in Vietnam it's a place where you get to create a doll first we're going to pick the doll we want I got one with ...,2026-01-20 03:12:04.972342
/watch?v=vOkkWuEwUmc&pp=ygUHdmlldG5hbQ%3D%3D,/@laistahir,Lais,10 Days in Vietnam 2026 - A Travel Documentary,1.4M,1 year,"vietnam #vietnamtravel #travel Discover Vietnam in this ultimate 10-day travel documentary, perfect for first-time visitors! Explore ...",2026-01-20 03:12:04.974142
/watch?v=KNQuS8GoD0o&pp=ygUHdmlldG5hbQ%3D%3D,/@TheEntireHistoryDocumentaries,The Entire History,The ENTIRE History Of The Vietnam War | 1862 - 1975 (Documentary),658K,8 months,The Vietnam War Documentary. The history of the Vietnam War encompasses a complex series of conflicts spanning much of the ...,2026-01-20 03:12:04.975945
/shorts/a-d2b8WMdUc,/@mappermaniac1,Mapper Maniac,What if Vietnam tried to take over all of Southeast Asia?,1.1M,6 months,What do you think of this scenario? #mappermaniac #map #mapper #hypothetical #whatif #vietnam #asia #southeastasia.,2026-01-20 03:12:04.977290
/watch?v=rbNZbC2IqLs&pp=ygUHdmlldG5hbQ%3D%3D,/@IslandHopperTV,Island Hopper TV,Vietnam Travel Guide: Best Things To Do in Vietnam 2026 4K,63K,2 months,In this Vietnam travel guide we assist you in planning your vacation to Vietnam In this best places in Vietnam travel video we show ...,2026-01-20 03:12:04.979143
/watch?v=FuTasufVPmU&pp=ygUHdmlldG5hbdIHCQlPCgGHKiGM7w%3D%3D,/@FoodOscar,Food Oscar,Vietnam's Most POPULAR Street Food Collection ! 50 Vietnamese Street Foods,879K,4 months,"Vietnam's Most POPULAR Street Food Collection ! 50 Vietnamese Street Foods In this video, I take you through the bustling ...",2026-01-20 03:12:18.393660
/watch?v=z3CtOvwNCuY&pp=ygUHdmlldG5hbQ%3D%3D,/@trieuthithuy5735,Trieu Thi Thuy,"The Process of Making Banh Tet, a Vietnamese Specialty, to Sell at The Market.",708K,3 months,"The Process of Making Banh Tet, a Vietnamese Specialty, to Sell at The Market. Thank you for visiting my channel and supporting ...",2026-01-20 03:12:18.395131
/watch?v=-y4MtlyWp-0&pp=ygUHdmlldG5hbQ%3D%3D,/@QuangVietTravelExplore,Quang Viet Travel & Explore,Life in Northern Vietnam 🇻🇳 | Vietnamese Markets & Local People (1 Hour),240K,6 days,"This 1-hour video takes you deep into local Vietnamese markets in Northern Vietnam, where daily life unfolds in the most ...",2026-01-20 03:12:18.397775
/watch?v=xId3cHWsta4&pp=ygUHdmlldG5hbQ%3D%3D,/@4KWorldWandering,World Wanderings: 4K Walking Tours,Hanoi 4K Walking Tour (Vietnam) - Old Quarter Tour with Train Street and Night Walk | 4K HD/60fps,893K,1 year,"Welcome to Hanoi, Vietnam

Join me on an unforgettable 4K walking tour through the enchanting old quarter of Hanoi, Vietnam ...",2026-01-20 03:12:18.401688
/watch?v=JI_Md14CH0Y&pp=ygUHdmlldG5hbQ%3D%3D,/@lostleblanc,Lost LeBlanc,The Most Beautiful Trip of My Life… Broke Me (VIETNAM),293K,2 months,"We rode motorbikes into North Vietnam (Hanoi to Sapa) and instead of the Ha Giang Loop, we found ourselves discovering the ...",2026-01-20 03:12:18.406430
/watch?v=lQ2dkSRLEGQ&pp=ygUHdmlldG5hbQ%3D%3D,/@FoodOscar,Food Oscar,Most Popular Street Food in Vietnam: What LOCAL People Actually Eat?,40K,3 weeks,Most Popular Street Food in Vietnam: What LOCAL People Actually Eat? Foods that I tried: Vietnamese Sizzling Beef Steak (Bò ...,2026-01-20 03:12:18.407642
/watch?v=89_3DgW_7mg&pp=ygUHdmlldG5hbQ%3D%3D,/@CBSEveningNews,CBS Evening News,"Vietnam War, 1970: CBS camera rolls as platoon comes under fire",27M,10 years,"In March of 1970, CBS News correspondent Richard Threlkeld was embedded with a platoon patrolling the jungles of Vietnam ...",2026-01-20 03:12:18.410319
/watch?v=BpK4ylLHtTg&pp=ygUHdmlldG5hbQ%3D%3D,/@Thevietnamexperience,The Vietnam Experience,My Time in the Vietnam War ~ Documentary,403K,7 months,Written Directed and Produced by Karson LaForce. One soldier. One war. One unforgettable story. Step into the boots of combat ...,2026-01-20 03:12:18.412245
/watch?v=forGxhh8siQ&pp=ygUHdmlldG5hbQ%3D%3D,/@Momo-travel2022,Momo  Travel,8 day Vietnam solo trip on Vietnam's most luxurious train SJourney,981K,5 months,Vietnam is so beautiful and its people are so friendly. 8 days is more than enough to fall in love with Vietnam. It was a wonderful ...,2026-01-20 03:12:18.416551
